Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
43859 , 44.38 , -95.75 , 110 , 57.28
43904 , 44.38 , -95.75 , 110 , 57.28
43948 , 45.25 , -95.75 , 113 , 57.28
43992 , 45.25 , -95.75 , 113 , 57.28
44036 , 45.13 , -100.00 , 112 , 56.00
44080 , 45.13 , -97.25 , 112 , 56.82
44124 , 45.25 , -95.75 , 113 , 57.28
44168 , 45.25 , -95.75 , 113 , 57.28
44211 , 45.25 , -95.75 , 113 , 57.28
44255 , 45.13 , -100.00 , 112 , 56.00
44299 , 45.13 , -95.75 , 112 , 57.28
44343 , 45.13 , -95.75 , 112 , 57.28
44387 , 45.13 , -95.75 , 112 , 57.28
44431 , 42.25 , -95.50 , 105 , 57.35
44475 , 45.13 , -100.00 , 112 , 56.00
44519 , 44.38 , -95.75 , 110 , 57.28
44563 , 44.38 , -95.75 , 110 , 57.28
44607 , 44.38 , -95.75 , 110 , 57.28
44651 , 41.50 , -95.75 , 103 , 57.28
44695 , 44.38 , -100.00 , 110 , 56.00
44739 , 44.38 , -95.75 , 110 , 57.28
44783 , 45.13 , -95.75 , 112 , 57.28
44827 , 45.13 , -95.75 , 112 , 57.28
44871 , 42.25 , -95.75 , 105 , 57.28
44915 , 45.25 , -74.00 , 113 , 63.80
44959 , 44.38 , -16.75 , 110 , 80.97
45003 , 44.38 , 3.00 , 110 , 86.90
45047 , 44.50 , 3.00 , 111 , 86.90
